sample_id,algo,key_size,operation,keygen_time_ms,enc_time_ms,dec_time_ms,memory_peak_kb,cpu_percent,system_load,timing_variance,label_algo_key,misuse_flag,misuse_rule,misuse_reason,context,enc_dec_ratio,memory_delta_kb,keygen_enc_ratio,total_time_ms,log_keygen_ms,log_dec_ms
RSA_1024-000000,RSA,1024,keygen+enc+dec,20.008209,0.789584,1.196708,110160.0,0.0,high,0.00022538,RSA_1024,1,weak_rsa_key,RSA key size below NIST minimum (2048-bit). RSA-1024 deprecated per NIST SP 800-131A Rev.2 (2019).,classical_context,0.659796708971612,0.0,25.340190530709844,21.994501000000003,3.0449132661019664,0.7869598760577475
RSA_1024-000005,RSA,1024,keygen+enc+dec,36.61875,0.070791,1.099625,110192.0,0.1,medium,0.00105117,RSA_1024,1,weak_rsa_key,RSA key size below NIST minimum (2048-bit). RSA-1024 deprecated per NIST SP 800-131A Rev.2 (2019).,classical_context,0.06437740138683642,32.0,517.2797389498664,37.789166,3.627502596313944,0.74175875735503
Kyber_512-000006,Kyber,512,keygen+enc+dec,0.020573,0.014431,0.036553,2577.92,6.35,high,0.00014408,Kyber_512,0,,,pqc_context,0.3947965967225672,522.2000000000003,1.425611530732451,0.07155700000000001,0.020364234271338617,0.03590078520918704
Kyber_768-000005,Kyber,768,keygen+enc+dec,0.032017,0.023032,0.034664,2737.98,8.19,medium,9.288e-05,Kyber_768,0,,,pqc_context,0.6644357258250635,682.2600000000002,1.3901094129906215,0.089713,0.03151513979191184,0.03407673632995371
RSA_2048-000003,RSA,2048,keygen+enc+dec,103.276625,0.153458,4.261958,111136.0,0.0,idle,2.817e-05,RSA_2048,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,0.036006455248972426,976.0,672.9960314874428,107.69204099999999,4.647047223754439,1.6605032008302603
Kyber_1024-000004,Kyber,1024,keygen+enc+dec,0.05129,0.077767,0.068115,2892.58,29.21,low,0.00066431,Kyber_1024,0,,,pqc_context,1.1417015341701535,836.8600000000001,0.6595342497460362,0.19717200000000001,0.0500179815216871,0.06589541264377559
Kyber_512-000003,Kyber,512,keygen+enc+dec,0.010956,0.02621,0.032821,2144.39,26.87,idle,6.515e-05,Kyber_512,0,,,pqc_context,0.7985740836659455,88.67000000000007,0.41800839374284626,0.06998700000000001,0.01089641782518339,0.03229389341871708
Kyber_768-000008,Kyber,768,keygen+enc+dec,0.051834,0.021776,0.050216,2531.43,7.71,idle,0.00014377,Kyber_768,0,,,pqc_context,0.43364664648717544,475.71000000000004,2.3803269654665686,0.12382599999999999,0.05053530718782221,0.04899585729886399
RSA_2048-000002,RSA,2048,keygen+enc+dec,133.293875,0.138958,4.085583,111136.0,0.1,medium,1.01e-05,RSA_2048,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,0.03401179219709892,976.0,959.2385828811584,137.518416,4.900030495638833,1.6264096738627272
Kyber_1024-000007,Kyber,1024,keygen+enc+dec,0.060638,0.03157,0.045899,3331.23,7.45,high,0.00052847,Kyber_1024,0,,,pqc_context,0.6878145493365868,1275.5100000000002,1.920747545137789,0.138107,0.05887061385522173,0.04487680266327711
Kyber_768-000006,Kyber,768,keygen+enc+dec,0.03696,0.025589,0.056298,2947.11,6.35,high,0.00032391,Kyber_768,0,,,pqc_context,0.4545276919251128,891.3900000000003,1.4443706280042206,0.118847,0.03629335569726881,0.054770342443691195
Kyber_1024-000000,Kyber,1024,keygen+enc+dec,0.070696,0.065284,0.085773,3546.07,11.81,high,0.00059597,Kyber_1024,0,,,pqc_context,0.7611252958390169,1490.3500000000004,1.0828993321487654,0.22175299999999998,0.06830890430138144,0.08229217572212695
Kyber_512-000001,Kyber,512,keygen+enc+dec,0.017404,0.019234,0.020965,2092.67,29.98,low,7.502e-05,Kyber_512,0,,,pqc_context,0.9174338182685429,36.95000000000027,0.9048559841946552,0.057603,0.0172542849891272,0.020748258477420015
RSA_1024-000003,RSA,1024,keygen+enc+dec,40.562125,0.092084,1.186958,110192.0,0.1,idle,0.02572044,RSA_1024,1,weak_rsa_key,RSA key size below NIST minimum (2048-bit). RSA-1024 deprecated per NIST SP 800-131A Rev.2 (2019).,classical_context,0.0775798301203581,32.0,440.490476087051,41.841167,3.7271892958189783,0.7825115371206494
Kyber_1024-000002,Kyber,1024,keygen+enc+dec,0.055758,0.041397,0.082464,3040.29,16.07,medium,0.00076532,Kyber_1024,0,,,pqc_context,0.5020008731082655,984.5700000000002,1.3469091963185738,0.179619,0.05425899235471008,0.0792399239904639
RSA_2048-000007,RSA,2048,keygen+enc+dec,99.106459,0.128333,4.034959,111136.0,0.0,high,2.09e-05,RSA_2048,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,0.03180527980581711,976.0,772.2601279483843,103.269751,4.606234209714022,1.6164053831383642
RSA_1024-000008,RSA,1024,keygen+enc+dec,19.702917,0.099,1.17875,110224.0,0.1,idle,0.00025812,RSA_1024,1,weak_rsa_key,RSA key size below NIST minimum (2048-bit). RSA-1024 deprecated per NIST SP 800-131A Rev.2 (2019).,classical_context,0.08398727465535526,64.0,199.0193636363636,20.980667,3.0302746082177285,0.7787513178520936
RSA_1024-000006,RSA,1024,keygen+enc+dec,53.758583,0.0785,1.072167,110192.0,0.0,high,0.00012211,RSA_1024,1,weak_rsa_key,RSA key size below NIST minimum (2048-bit). RSA-1024 deprecated per NIST SP 800-131A Rev.2 (2019).,classical_context,0.07321620605745187,32.0,684.8227133757962,54.90925,4.002934123533216,0.7285949196049541
Kyber_768-000000,Kyber,768,keygen+enc+dec,0.049972,0.046607,0.062303,3039.49,11.81,high,0.00030799,Kyber_768,0,,,pqc_context,0.7480699163764185,983.77,1.0721994550174867,0.158882,0.04876349714720346,0.060439192860842754
RSA_1024-000004,RSA,1024,keygen+enc+dec,66.732209,0.086416,1.11425,110192.0,0.0,low,3.723e-05,RSA_1024,1,weak_rsa_key,RSA key size below NIST minimum (2048-bit). RSA-1024 deprecated per NIST SP 800-131A Rev.2 (2019).,classical_context,0.07755530625981603,32.0,772.2205262914274,67.932875,4.2155618274889965,0.7487001396801946
Kyber_768-000003,Kyber,768,keygen+enc+dec,0.021433,0.041748,0.05015,2453.26,26.87,idle,0.00013593,Kyber_768,0,,,pqc_context,0.8324626121635095,397.5400000000004,0.5133898629874485,0.113331,0.02120654330553968,0.04893301110917923
RSA_2048-000009,RSA,2048,keygen+enc+dec,201.22475,0.130334,3.873209,111120.0,0.0,idle,1.083e-05,RSA_2048,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,0.0336501335197765,960.0,1543.9160157748554,205.228293,5.309379702656497,1.5837526523321648
Kyber_512-000004,Kyber,512,keygen+enc+dec,0.020395,0.035733,0.032147,2171.13,29.21,low,0.00016608,Kyber_512,0,,,pqc_context,1.1115500668802687,115.41000000000031,0.5707609212772508,0.08827499999999999,0.020189807234313732,0.03164109877595757
Kyber_1024-000008,Kyber,1024,keygen+enc+dec,0.072445,0.030767,0.06915,2953.33,7.71,idle,0.00027564,Kyber_1024,0,,,pqc_context,0.44493130874909614,897.6100000000001,2.3546332109077905,0.17236200000000002,0.06994108845378358,0.06686394025350713
RSA_4096-000005,RSA,4096,keygen+enc+dec,478.89375,0.381625,16.626792,111264.0,0.0,medium,0.00010949,RSA_4096,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,0.022952413189507637,1104.0,1254.8804454634785,495.902167,6.17356472523282,2.869420017288771
Kyber_1024-000006,Kyber,1024,keygen+enc+dec,0.053346,0.036181,0.077624,3438.29,6.35,high,0.00062639,Kyber_1024,0,,,pqc_context,0.4661058435535401,1382.5700000000002,1.4744202758353833,0.167151,0.05197176417486321,0.07475861758092826
RSA_2048-000005,RSA,2048,keygen+enc+dec,340.11825,0.140042,4.0625,111136.0,0.0,medium,1.337e-05,RSA_2048,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,0.034471876923076926,976.0,2428.687465189015,344.320792,5.8322291913647915,1.6218604324326575
RSA_4096-000007,RSA,4096,keygen+enc+dec,699.763459,0.374458,16.839625,111264.0,0.0,high,1.351e-05,RSA_4096,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,0.022236718454241113,1104.0,1868.7368383103044,716.977542,6.55217039642485,2.881422106751564
RSA_1024-000009,RSA,1024,keygen+enc+dec,24.63475,0.091791,1.152292,110224.0,0.0,idle,4.093e-05,RSA_1024,1,weak_rsa_key,RSA key size below NIST minimum (2048-bit). RSA-1024 deprecated per NIST SP 800-131A Rev.2 (2019).,classical_context,0.07965949603052003,64.0,268.3787081522154,25.878833,3.2439488528963216,0.7665333208271323
Kyber_512-000000,Kyber,512,keygen+enc+dec,0.029248,0.028982,0.040842,2654.9,11.81,high,0.00013625,Kyber_512,0,,,pqc_context,0.7096126536408599,599.1800000000003,1.0091781105513766,0.09907200000000001,0.02882843850349211,0.04003000097614861
RSA_4096-000006,RSA,4096,keygen+enc+dec,397.822125,0.366417,16.594417,111264.0,0.0,high,9.076e-05,RSA_4096,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,0.022080739564396868,1104.0,1085.7087007425966,414.78295900000006,5.988515515485594,2.867581635811406
RSA_2048-000006,RSA,2048,keygen+enc+dec,127.2425,0.12775,3.957375,111136.0,0.0,high,2.499e-05,RSA_2048,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,0.032281499731513945,976.0,996.027397260274,131.327625,4.85392300280872,1.6008763667721928
RSA_4096-000004,RSA,4096,keygen+enc+dec,467.936291,0.375458,16.340833,111264.0,0.0,low,2.522e-05,RSA_4096,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,0.02297667444493191,1104.0,1246.3079518880938,484.65258199999994,6.150466919133891,2.853064009414236
Kyber_1024-000005,Kyber,1024,keygen+enc+dec,0.046423,0.03258,0.048165,3194.31,8.19,medium,0.00017807,Kyber_1024,0,,,pqc_context,0.6764247897851137,1138.5900000000001,1.4248925721301413,0.127168,0.04537768160156201,0.04704101625413332
RSA_2048-000001,RSA,2048,keygen+enc+dec,104.837166,0.152208,3.943542,111136.0,0.0,low,2.42e-05,RSA_2048,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,0.038596774169008474,976.0,688.7756622516556,108.93291599999999,4.661901743182147,1.5980820783238145
Kyber_512-000002,Kyber,512,keygen+enc+dec,0.022279,0.017338,0.039453,2283.63,16.07,medium,0.00019133,Kyber_512,0,,,pqc_context,0.4394596101690619,227.9100000000003,1.2849809666628216,0.07907,0.02203444865455424,0.03869461324853077
Kyber_1024-000003,Kyber,1024,keygen+enc+dec,0.031911,0.05842,0.06906,2862.14,26.87,idle,0.0002606,Kyber_1024,0,,,pqc_context,0.8459310744280336,806.4200000000001,0.5462341663813762,0.159391,0.03141242303038412,0.06677975768953712
Kyber_768-000001,Kyber,768,keygen+enc+dec,0.031357,0.031866,0.033761,2385.2,29.98,low,0.00015652,Kyber_768,0,,,pqc_context,0.9438701460264802,329.48,0.984026862486663,0.096984,0.030875410860066312,0.03320360816976704
Kyber_512-000007,Kyber,512,keygen+enc+dec,0.024219,0.012125,0.019855,2501.45,7.45,high,0.00013212,Kyber_512,0,,,pqc_context,0.6106774112314278,445.73,1.9974432989690722,0.056199,0.02393037093848928,0.019660460328190105
RSA_4096-000009,RSA,4096,keygen+enc+dec,484.675333,0.43025,16.873917,111264.0,0.1,idle,0.00033774,RSA_4096,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,0.025497932696954717,1104.0,1126.4969970947125,501.97950000000003,6.185540361568301,2.8833424993319925
Kyber_768-000004,Kyber,768,keygen+enc+dec,0.035843,0.055698,0.049416,2479.36,29.21,low,0.00034651,Kyber_768,0,,,pqc_context,1.1271248178727538,423.6400000000003,0.6435240044525836,0.140957,0.03521558795173386,0.048233818961942586
RSA_1024-000001,RSA,1024,keygen+enc+dec,23.015083,0.11425,1.128208,110192.0,0.0,low,0.00016695,RSA_1024,1,weak_rsa_key,RSA key size below NIST minimum (2048-bit). RSA-1024 deprecated per NIST SP 800-131A Rev.2 (2019).,classical_context,0.10126678768454044,32.0,201.44492778993435,24.257541,3.17868209128404,0.7552803110636315
RSA_4096-000001,RSA,4096,keygen+enc+dec,2191.743167,0.524125,17.00825,111264.0,0.0,low,0.00029042,RSA_4096,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,0.030815927564564253,1104.0,4181.718420224183,2209.275542,7.692908626648321,2.890829986226859
RSA_1024-000002,RSA,1024,keygen+enc+dec,32.169334,0.086834,1.138666,110192.0,0.1,medium,0.00163474,RSA_1024,1,weak_rsa_key,RSA key size below NIST minimum (2048-bit). RSA-1024 deprecated per NIST SP 800-131A Rev.2 (2019).,classical_context,0.0762594123298667,32.0,370.4693322891955,33.394834,3.5016257743733057,0.7601822701753568
Kyber_768-000007,Kyber,768,keygen+enc+dec,0.042428,0.022258,0.032921,2855.34,7.45,high,0.00027565,Kyber_768,0,,,pqc_context,0.6761033990462015,799.6200000000003,1.906191032437775,0.097607,0.041552607557538486,0.03239071093036966
Kyber_512-000009,Kyber,512,keygen+enc+dec,0.024964,0.023552,0.023117,2055.72,8.4,idle,9.158e-05,Kyber_512,0,,,pqc_context,1.0188173205865814,0.0,1.0599524456521738,0.071633,0.024657490022361818,0.022853849931262892
Kyber_512-000005,Kyber,512,keygen+enc+dec,0.017612,0.01293,0.0214,2393.65,8.19,medium,4.452e-05,Kyber_512,0,,,pqc_context,0.6042056074766355,337.9300000000003,1.3621036349574631,0.051942,0.017458705987020408,0.021174235231406484
RSA_4096-000003,RSA,4096,keygen+enc+dec,1456.003667,0.4115,16.57575,111264.0,0.0,idle,3.276e-05,RSA_4096,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,0.024825422680723346,1104.0,3538.2835164034022,1472.9909169999999,7.284137323007411,2.866520111039409
Kyber_768-000009,Kyber,768,keygen+enc+dec,0.042447,0.037908,0.036564,2346.87,8.4,idle,0.00019108,Kyber_768,0,,,pqc_context,1.0367574663603545,291.1500000000001,1.1197372586261476,0.116919,0.04157083406991983,0.035911397248932116
RSA_2048-000000,RSA,2048,keygen+enc+dec,164.982792,0.16225,4.152708,111136.0,0.0,high,3.878e-05,RSA_2048,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,0.039070890609212115,976.0,1016.8430939907549,169.29774999999998,5.111884120332597,1.6395224017207133
RSA_4096-000002,RSA,4096,keygen+enc+dec,961.016334,0.443583,16.428,111264.0,0.0,medium,8.196e-05,RSA_4096,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,0.02700164353542732,1104.0,2166.485942878785,977.887917,6.869031429731541,2.858078108255196
RSA_2048-000008,RSA,2048,keygen+enc+dec,136.52825,0.126958,4.066625,111136.0,0.1,idle,8.21e-05,RSA_2048,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,0.031219500199797124,976.0,1075.3812284377514,140.721833,4.923829350549186,1.6226749154660958
Kyber_1024-000009,Kyber,1024,keygen+enc+dec,0.059929,0.053103,0.050623,2738.01,8.4,idle,0.00036634,Kyber_1024,0,,,pqc_context,1.0489895897121861,682.2900000000004,1.1285426435417962,0.163655,0.0582019247485641,0.04938332155013871
RSA_4096-000000,RSA,4096,keygen+enc+dec,1929.765292,0.440292,16.526792,111264.0,0.0,high,9.233e-05,RSA_4096,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,0.026641104940390126,1104.0,4382.921542976025,1946.732376,7.565671727656258,2.863730681616045
RSA_1024-000007,RSA,1024,keygen+enc+dec,50.833958,0.078666,1.111416,110192.0,0.1,high,0.00014645,RSA_1024,1,weak_rsa_key,RSA key size below NIST minimum (2048-bit). RSA-1024 deprecated per NIST SP 800-131A Rev.2 (2019).,classical_context,0.07077997797404392,32.0,646.1998576259122,52.02404,3.9480454943255063,0.7473588124551364
Kyber_768-000002,Kyber,768,keygen+enc+dec,0.039019,0.0294,0.059938,2605.96,16.07,medium,0.0003992,Kyber_768,0,,,pqc_context,0.49050685708565517,550.2400000000002,1.3271768707482994,0.128357,0.038276998764133055,0.05821041584729818
RSA_2048-000004,RSA,2048,keygen+enc+dec,222.247791,0.15625,3.990917,111136.0,0.0,low,1.913e-05,RSA_2048,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,0.03915140304847232,976.0,1422.3858624,226.394958,5.408282324970813,1.6076196604153123
RSA_4096-000008,RSA,4096,keygen+enc+dec,1405.969042,0.408667,16.648208,111264.0,0.1,idle,0.00036729,RSA_4096,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,0.02454720652216743,1104.0,3440.3782101319653,1423.025917,7.249193054029394,2.87063424847977
Kyber_1024-000001,Kyber,1024,keygen+enc+dec,0.045309,0.044769,0.046868,2782.74,29.98,low,0.00030008,Kyber_1024,0,,,pqc_context,0.9552146453870445,727.02,1.0120619178449373,0.136946,0.044312535487888965,0.04580284944177483
Kyber_512-000008,Kyber,512,keygen+enc+dec,0.031222,0.012383,0.032869,2209.52,7.71,idle,6.891e-05,Kyber_512,0,,,pqc_context,0.3767379597797316,153.80000000000018,2.52135992893483,0.076474,0.030744506782993113,0.03234036699414092
